Surname,Name,Wake,Non_fiction,fiction,poetry,other,total,Nobel,Pulitzer,Other_Prize,born,died,suicide
Balzac,Honore de,1,0,19,1,6,26,,,,1799,1850,
Murakami,Haruki,4,23,16,0,0,39,,,1,1949,2015,
Plath,Sylvia,4,5,5,9,1,20,,1,1,1932,1963,1
Franklin,Benjamin,5,8,1,0,0,9,,,1,1706,1790,
Sacks,Oliver,5,12,0,0,0,12,,,1,1933,2015,
Morrison,Toni,5,7,15,0,1,23,1,1,1,1931,2015,
Mead,Margaret,5,12,0,0,4,16,,,1,1901,1978,
Kant,Immanuel,5,53,0,0,0,53,,,1,1724,1804,
Sitwell,Edith,5.5,12,1,20,0,33,,,,1887,1964,
Hemingway,Ernest,6,11,19,2,10,42,1,1,,1899,1961,1
Asimov,Issac,6,0,68,0,0,68,,,1,1920,1992,
Tharp,Twyla,5.5,3,0,0,0,3,,,,1941,2015,
Wharton,Edith,6,9,40,3,0,52,,1,,1862,1937,
Vonnegut,Kurt,6,10,30,2,15,57,,,1,1922,2007,
O'Connor,Flannery,6,6,5,0,2,13,,,1,1925,1964,
Nabokov,Vladimir,6,19,34,10,0,63,,,,1899,1977,
Kalman,Maira,6,20,15,0,0,35,,,,1949,2015,
Ebert,Roger,7,12,1,0,1,14,,1,,1942,2013,
Dickens,Charles,7,9,30,2,1,42,,,,1812,1870,
Goethe,Johann W.,7,7,23,14,1,45,,,,1749,1832,
King,Stephen,8,1,76,0,13,90,,,1,1947,2015,
Talese,Gay,8,9,1,0,0,10,,,1,1932,2015,
Darwin,Charles,8,36,0,0,0,36,,,1,1809,1882,
Sontag,Susan,8,10,14,0,0,24,,,1,1933,2004,
Jung,Carl,8,53,0,0,0,53,,,,1875,1961,
Kafka,Franz,8.5,23,8,0,0,31,,,,1883,1924,
Bradbury,Ray,9,12,66,0,49,127,,1,1,1920,2012,
Tolstoy,Leo,9,47,18,0,0,65,,,,1828,1910,
Lewis,C. S.,9,46,18,4,0,68,,,,1898,1963,
Vidal,Gore,9,25,53,0,1,79,,,,1925,2012,
Woolf,Virginia,9,30,16,0,0,46,,,,1882,1941,1
Burroughs,William S.,9.5,11,17,0,22,50,,,1,1914,1997,
Beauvoir,Simone de,10,3,4,0,0,7,,,1,1908,1986,
Stein,Gertrude,10,20,10,2,3,35,,,,1874,1946,
Joyce,James,10,11,8,3,0,22,,,,1882,1941,
Fitzgerald,F. Scott,11,5,20,1,2,28,,,,1896,1940,
Bukowski,Charles,12,9,14,37,3,63,,,,1920,1994,
